evento_id,entidade_id,data_evento,categoria,produto,pagamento,preco,frete,review_score,atraso,seller_state
0,48436dade18ac8b2bce089ec2a041202,2017-09-13 08:59:02,cool_stuff,4244733e06e7ecb4970a6e2683c13e61,credit_card,58.9,13.29,5.0,0.0,SP
1,dd7ddc04e1b6c2c614352b383efe2d36,2017-04-26 10:53:06,pet_shop,e5f2d52b802189ee658865ca93d83a8f,credit_card,239.9,19.93,4.0,0.0,SP
2,5b51032eddd242adc84c38acab88f23d,2018-01-14 14:33:31,furniture_decor,c777355d18b72b67abbeef9df44fd0fd,credit_card,199.0,17.87,5.0,0.0,MG
3,9d7a1d34a5052409006425275ba1c2b4,2018-08-08 10:00:35,perfumery,7634da152a4610f1595efa32f14722fc,credit_card,12.99,12.79,4.0,0.0,SP
4,df560393f3a51e74553ab94004ba5c87,2017-02-04 13:57:51,garden_tools,ac6c3623068f30de03045865e4e10089,credit_card,199.9,18.14,5.0,0.0,PR
5,6426d21aca402a131fc0a5d0960a3c90,2017-05-15 21:42:34,housewares,ef92defde845ab8450f9d70c526ef70f,boleto,21.9,12.69,4.0,0.0,SP
6,7040e82f899a04d1b434b795a43b4617,2017-12-10 11:53:48,telephony,8d4f2bb7e93e6710a28f34fa83ee7d28,credit_card,19.9,11.85,4.0,0.0,SP
7,5996cddab893a4652a15592fb58ab8db,2018-07-04 12:08:27,garden_tools,557d850972a7d6f792fd18ae1400d9b6,credit_card,810.0,70.75,5.0,0.0,SP
8,a416b6a846a11724393025641d4edd5e,2018-03-19 18:40:33,health_beauty,310ae3c140ff94b03219ad0adc3c778f,credit_card,145.95,11.65,1.0,1.0,SP
9,ba143b05f0110f0dc71ad71b4466ce92,2018-07-02 13:59:39,books_technical,4535b0e1091c278dfd193e5a1d63b39f,credit_card,53.99,11.4,4.0,0.0,SP
10,cc419e0650a3c5ba77189a1882b7556a,2018-03-24 22:16:10,health_beauty,d63c1011f49d98b976c352955b1c4bea,credit_card,59.99,8.88,5.0,0.0,SP
11,8602a61d680a10a82cceeeda0d99ea3d,2018-07-27 17:21:27,fashion_bags_accessories,f177554ea93259a5b282f24e33f65ab6,credit_card,45.0,12.98,5.0,1.0,SP
12,4a3ca9315b744ce9f8e9374361493884,2018-07-24 17:04:17,bed_bath_table,99a4788cb24856965c36a24e339b6058,credit_card,74.0,23.32,5.0,0.0,SP
13,1f50f920176fa81dab994f9023523100,2018-02-13 22:10:21,garden_tools,368c6c730842d78016ad823897a372db,boleto,49.9,13.37,5.0,0.0,SP
14,1f50f920176fa81dab994f9023523100,2018-02-13 22:10:21,garden_tools,368c6c730842d78016ad823897a372db,boleto,49.9,13.37,5.0,0.0,SP
15,530ec6109d11eaaf87999465c6afee01,2018-08-14 20:43:09,sports_leisure,8cab8abac59158715e0d70a36c807415,boleto,99.9,27.65,5.0,0.0,PR
16,fcb5ace8bcc92f75707dc0f01a27d269,2018-04-25 09:10:41,consoles_games,3f27ac8e699df3d300ec4a5d8c5cf0b2,credit_card,639.0,11.34,4.0,0.0,SP
17,fe2032dab1a61af8794248c8196565c9,2018-05-11 20:33:38,perfumery,4fa33915031a8cde03dd0d3e8fb27f01,credit_card,144.0,8.77,1.0,0.0,SP
18,218d46b86c1881d022bce9c68a7d4b15,2017-08-12 10:08:57,sports_leisure,b50c950aba0dcead2c48032a690ce817,boleto,99.0,13.71,5.0,0.0,SP
19,8cbac7e12637ed9cffa18c7875207478,2018-02-22 11:54:42,cool_stuff,5ed9eaf534f6936b51d0b6c5e4d5c2e9,credit_card,25.0,16.11,3.0,0.0,SC
20,1c129092bf23f28a5930387c980c0dfc,2018-03-23 19:48:26,bed_bath_table,553e0e7590d3116a072507a3635d2877,credit_card,47.9,8.88,3.0,0.0,SP
21,ea8482cd71df3c1969d7b9473ff13abc,2017-11-21 18:54:23,telephony,57d79905de06d8897872c551bfd09358,credit_card,21.99,11.85,3.0,1.0,SP
22,7c67e1448b00f6e969d365cea6b010ab,2018-03-07 10:33:13,office_furniture,1c05e0964302b6cf68ca0d15f326c6ba,credit_card,119.99,44.4,4.0,0.0,SP
23,6560211a19b47992c3666cc44a7e94c0,2018-02-27 09:27:14,fashion_bags_accessories,5d7c23067ed3fc8c6e699b9373d5890b,credit_card,49.0,15.1,4.0,0.0,SP
24,3504c0cb71d7fa48d967e0e4c94d59d9,2017-09-11 17:39:33,cool_stuff,5a419dbf24a8c9718fe522b81c69f61a,credit_card,48.9,16.6,5.0,0.0,SP
25,c864036feaab8c1659f65ea4faebe1da,2017-08-06 00:42:49,sports_leisure,21b1c2f67a9aafb5af0eb06c13b9dbda,credit_card,219.9,16.98,5.0,0.0,PR
26,bfd27a966d91cfaafdb25d076585f0da,2018-01-16 21:43:23,luggage_accessories,c389f712c4b4510bc997cee93e8b1a28,credit_card,289.0,26.33,4.0,0.0,SP
27,41b39e28db005d9731d9d485a83b4c38,2017-03-23 12:21:17,furniture_decor,1c0c0093a48f13ba70d0c6b0a9157cb7,credit_card,109.9,25.51,5.0,0.0,SP
28,16090f2ca825584b5a147ab24aa30c86,2018-06-11 21:17:00,food,89321f94e35fc6d7903d36f74e351d40,boleto,27.9,7.94,5.0,0.0,SP
29,1554a68530182680ad5c8b042c3ab563,2017-12-05 23:40:59,furniture_decor,38afdf723b95d455b418a0f57d623c6b,boleto,119.9,17.32,5.0,0.0,MG
30,e59aa562b9f8076dd550fcddf0e73491,2017-11-24 16:50:38,agro_industry_and_commerce,672e757f331900b9deea127a2a7b79fd,boleto,397.0,24.65,4.0,0.0,PR
31,77530e9772f57a62c906e1c21538ab82,2018-04-07 18:51:22,furniture_decor,28b4eced95a52d9c437a4caf9d311b95,credit_card,59.9,23.35,2.0,0.0,PR
32,a17f621c590ea0fab3d5d883e1630ec6,2017-10-16 15:29:43,sports_leisure,e95ee6822b66ac6058e2e4aff656071a,credit_card,21.33,15.1,,0.0,SP
33,a17f621c590ea0fab3d5d883e1630ec6,2017-10-16 15:29:43,sports_leisure,e95ee6822b66ac6058e2e4aff656071a,credit_card,21.33,15.1,,0.0,SP
34,a17f621c590ea0fab3d5d883e1630ec6,2017-10-16 15:29:43,sports_leisure,e95ee6822b66ac6058e2e4aff656071a,credit_card,21.33,15.1,,0.0,SP
35,92eb0f42c21942b6552362b9b114707d,2017-05-22 13:49:03,telephony,23365beed316535b4105bd800c46670e,boleto,16.5,14.1,5.0,0.0,SP
36,8b321bb669392f5163d04c59e235e066,2018-01-14 09:01:36,electronics,50fd2b788dc166edd20512370dac54df,credit_card,21.9,15.1,5.0,0.0,SP
37,a3e9a2c700480d9bb01fba070ba80a0e,2018-01-16 09:26:39,bed_bath_table,b10eba910a974df70b8a12d0665cdb9e,boleto,39.0,16.11,1.0,0.0,SP
38,a35124e2d763d7ca3fbe3b97d143200f,2017-04-28 19:54:40,garden_tools,4089861a1bd4685da70bddd6b4f974f1,credit_card,49.75,20.8,5.0,0.0,SP
39,25c5c91f63607446a97b143d2d535d31,2017-04-06 22:16:10,computers_accessories,fe59a1e006df3ac42bf0ceb876d70969,credit_card,809.1,44.29,1.0,1.0,MG
40,7a67c85e85bb2ce8582c35f2203ad736,2018-02-06 19:11:57,cool_stuff,c6dd917a0be2a704582055949915ab32,credit_card,99.99,13.72,5.0,0.0,SP
41,77530e9772f57a62c906e1c21538ab82,2018-03-06 06:40:28,furniture_decor,28b4eced95a52d9c437a4caf9d311b95,credit_card,59.9,19.95,5.0,0.0,PR
42,5656537e588803a555b8eb41f07a944b,2017-12-27 00:38:47,electronics,0b0172eb0fd18479d29c3bc122c058c2,boleto,24.89,17.63,4.0,0.0,DF
43,5656537e588803a555b8eb41f07a944b,2017-12-27 00:38:47,electronics,0b0172eb0fd18479d29c3bc122c058c2,boleto,24.89,17.63,4.0,0.0,DF
44,5656537e588803a555b8eb41f07a944b,2017-12-27 00:38:47,electronics,0b0172eb0fd18479d29c3bc122c058c2,boleto,24.89,17.63,4.0,0.0,DF
45,ffc470761de7d0232558ba5e786e57b7,2018-07-04 11:39:11,construction_tools_construction,dbaee28f4ee64465838a229582d77520,boleto,54.0,8.54,5.0,0.0,SP
46,9c0e69c7bf2619675bbadf47b43f655a,2018-03-26 17:42:53,computers_accessories,dbb67791e405873b259e4656bf971246,credit_card,81.99,13.01,5.0,0.0,SP
47,4a3ca9315b744ce9f8e9374361493884,2017-11-24 19:19:18,bed_bath_table,84f456958365164420cfc80fbe4c7fab,credit_card,99.0,13.71,2.0,1.0,SP
48,f4aba7c0bca51484c30ab7bdc34bcdd1,2017-05-14 17:19:44,health_beauty,e67307ff0f15ade43fcb6e670be7a74c,credit_card,18.99,7.78,1.0,1.0,SP
49,f4aba7c0bca51484c30ab7bdc34bcdd1,2017-05-14 17:19:44,health_beauty,e67307ff0f15ade43fcb6e670be7a74c,credit_card,18.99,7.78,1.0,1.0,SP
50,f45122a9ab94eb4f3f8953578bc0c560,2017-05-17 23:19:34,pet_shop,30c01cc81c9eb80469371743813789cc,boleto,38.33,16.79,5.0,0.0,SP
51,4a3ca9315b744ce9f8e9374361493884,2017-01-28 13:17:57,bed_bath_table,777d2e438a1b645f3aec9bd57e92672c,credit_card,69.9,18.0,5.0,0.0,SP
52,3340ef1913fb70d28420f6ceb685c339,2017-03-18 11:47:37,computers_accessories,884fa3cd42986ba480ea2f8ae4e25ff7,credit_card,195.0,18.21,5.0,0.0,PR
53,2a84855fd20af891be03bc5924d2b453,2018-05-19 10:29:23,health_beauty,bdcf6a834e8faa30dac3886c7a58e92e,credit_card,35.9,15.2,1.0,0.0,MG
54,ff063b022a9a0aab91bad2c9088760b7,2017-11-28 09:32:49,furniture_decor,a5341e3f8155dbb3e62323d3ea289729,credit_card,79.5,21.05,4.0,0.0,SP
55,8a32e327fe2c1b3511609d81aaf9f042,2017-08-15 02:45:18,furniture_decor,e19ddcc85537b41f22116c8d5425ef46,credit_card,29.99,15.1,5.0,0.0,SP
56,b2ba3715d723d245138f291a6fe42594,2018-04-22 12:13:25,audio,e6b6e13cf71449a457269f425b89dc74,credit_card,109.9,13.21,4.0,0.0,SP
